riding_number,riding,party,surname,votes
35108,Toronto Centre,People's Party - PPC,Bawa,1.1
35108,Toronto Centre,Free Party Canada,Cappelletti,0.3
35108,Toronto Centre,NDP-New Democratic Party,Chang,17
35108,Toronto Centre,Independent,Clarke,0.5
35108,Toronto Centre,Liberal,Ien,42
35108,Toronto Centre,Libertarian,Komar,0.5
35108,Toronto Centre,Green Party,Paul,32.7
35108,Toronto Centre,No Affiliation,Znoneofthe,0.2
35108,Toronto Centre,Conservative,Sharma,5.7
35118,York Centre,Green Party,Zavarella,2.6
35118,York Centre,NDP-New Democratic Party,Vásquez Jiménez,5.8
35118,York Centre,People's Party - PPC,Bernier,3.6
35118,York Centre,Liberal,Saks,45.7
35118,York Centre,Conservative,Tiangson,41.8
35118,York Centre,Independent,Turmel,0.6
