area,age,gender,number
Mombasa,0,male,15111
Mombasa,0,female,15009
Mombasa,0,total,30120
Mombasa,1,male,15805
Mombasa,1,female,15308
Mombasa,1,total,31113
Mombasa,2,male,15088
Mombasa,2,female,14837
Mombasa,2,total,29925
Mombasa,3,male,14660
Mombasa,3,female,14031
Mombasa,3,total,28691
Mombasa,4,male,14061
Mombasa,4,female,13993
Mombasa,4,total,28054
Mombasa,5,male,13851
Mombasa,5,female,14023
Mombasa,5,total,27874
Mombasa,6,male,12889
Mombasa,6,female,13216
Mombasa,6,total,26105
Mombasa,7,male,13268
Mombasa,7,female,13203
Mombasa,7,total,26471
Mombasa,8,male,11996
Mombasa,8,female,12423
Mombasa,8,total,24419
Mombasa,9,male,12523
Mombasa,9,female,12594
Mombasa,9,total,25117
Mombasa,10,male,12349
Mombasa,10,female,12343
Mombasa,10,total,24692
Mombasa,11,male,11115
Mombasa,11,female,11497
Mombasa,11,total,22612
Mombasa,12,male,11661
Mombasa,12,female,11630
Mombasa,12,total,23291
Mombasa,13,male,11631
Mombasa,13,female,12081
Mombasa,13,total,23712
Mombasa,14,male,10388
Mombasa,14,female,10729
Mombasa,14,total,21117
Mombasa,15,male,9199
Mombasa,15,female,9724
Mombasa,15,total,18923
Mombasa,16,male,8922
Mombasa,16,female,9863
Mombasa,16,total,18785
Mombasa,17,male,9863
Mombasa,17,female,10487
Mombasa,17,total,20350
Mombasa,18,male,8964
Mombasa,18,female,10217
Mombasa,18,total,19181
Mombasa,19,male,10596
Mombasa,19,female,12898
Mombasa,19,total,23494
Mombasa,20,male,11186
Mombasa,20,female,14416
Mombasa,20,total,25602
Mombasa,21,male,11527
Mombasa,21,female,13706
Mombasa,21,total,25233
Mombasa,22,male,12833
Mombasa,22,female,15192
Mombasa,22,total,28025
Mombasa,23,male,14195
Mombasa,23,female,16513
Mombasa,23,total,30708
Mombasa,24,male,14081
Mombasa,24,female,16084
Mombasa,24,total,30165
Mombasa,25,male,16231
Mombasa,25,female,16675
Mombasa,25,total,32906
Mombasa,26,male,14231
Mombasa,26,female,15107
Mombasa,26,total,29338
Mombasa,27,male,14111
Mombasa,27,female,14768
Mombasa,27,total,28879
Mombasa,28,male,12333
Mombasa,28,female,13049
Mombasa,28,total,25382
Mombasa,29,male,12921
Mombasa,29,female,13202
Mombasa,29,total,26123
Mombasa,30,male,15982
Mombasa,30,female,16319
Mombasa,30,total,32301
Mombasa,31,male,10866
Mombasa,31,female,10548
Mombasa,31,total,21414
Mombasa,32,male,13578
Mombasa,32,female,13379
Mombasa,32,total,26957
Mombasa,33,male,10592
Mombasa,33,female,10562
Mombasa,33,total,21154
Mombasa,34,male,10335
Mombasa,34,female,10056
Mombasa,34,total,20391
Mombasa,35,male,12644
Mombasa,35,female,11396
Mombasa,35,total,24040
Mombasa,36,male,9495
Mombasa,36,female,8491
Mombasa,36,total,17986
Mombasa,37,male,9167
Mombasa,37,female,8165
Mombasa,37,total,17332
Mombasa,38,male,7666
Mombasa,38,female,6978
Mombasa,38,total,14644
Mombasa,39,male,8106
Mombasa,39,female,7005
Mombasa,39,total,15111
Mombasa,40,male,10190
Mombasa,40,female,8555
Mombasa,40,total,18745
Mombasa,41,male,8490
Mombasa,41,female,6541
Mombasa,41,total,15031
Mombasa,42,male,8405
Mombasa,42,female,6505
Mombasa,42,total,14910
Mombasa,43,male,6979
Mombasa,43,female,5521
Mombasa,43,total,12500
Mombasa,44,male,6034
Mombasa,44,female,4598
Mombasa,44,total,10632
Mombasa,45,male,8759
Mombasa,45,female,6234
Mombasa,45,total,14993
Mombasa,46,male,5852
Mombasa,46,female,4342
Mombasa,46,total,10194
Mombasa,47,male,6402
Mombasa,47,female,4282
Mombasa,47,total,10684
Mombasa,48,male,4607
Mombasa,48,female,3406
Mombasa,48,total,8013
Mombasa,49,male,5045
Mombasa,49,female,3338
Mombasa,49,total,8383
Mombasa,50,male,6027
Mombasa,50,female,4430
Mombasa,50,total,10457
Mombasa,51,male,4139
Mombasa,51,female,2577
Mombasa,51,total,6716
Mombasa,52,male,3674
Mombasa,52,female,2567
Mombasa,52,total,6241
Mombasa,53,male,2788
Mombasa,53,female,1911
Mombasa,53,total,4699
Mombasa,54,male,3227
Mombasa,54,female,2117
Mombasa,54,total,5344
Mombasa,55,male,3158
Mombasa,55,female,2059
Mombasa,55,total,5217
Mombasa,56,male,3259
Mombasa,56,female,2366
Mombasa,56,total,5625
Mombasa,57,male,2881
Mombasa,57,female,2099
Mombasa,57,total,4980
Mombasa,58,male,2170
Mombasa,58,female,1769
Mombasa,58,total,3939
Mombasa,59,male,2403
Mombasa,59,female,1908
Mombasa,59,total,4311
Mombasa,60,male,2538
Mombasa,60,female,2356
Mombasa,60,total,4894
Mombasa,61,male,1794
Mombasa,61,female,1444
Mombasa,61,total,3238
Mombasa,62,male,1617
Mombasa,62,female,1274
Mombasa,62,total,2891
Mombasa,63,male,1462
Mombasa,63,female,1273
Mombasa,63,total,2735
Mombasa,64,male,1238
Mombasa,64,female,1038
Mombasa,64,total,2276
Mombasa,65,male,1555
Mombasa,65,female,1434
Mombasa,65,total,2989
Mombasa,66,male,1007
Mombasa,66,female,856
Mombasa,66,total,1863
Mombasa,67,male,1229
Mombasa,67,female,994
Mombasa,67,total,2223
Mombasa,68,male,721
Mombasa,68,female,682
Mombasa,68,total,1403
Mombasa,69,male,879
Mombasa,69,female,886
Mombasa,69,total,1765
Mombasa,70,male,1027
Mombasa,70,female,1265
Mombasa,70,total,2292
Mombasa,71,male,624
Mombasa,71,female,618
Mombasa,71,total,1242
Mombasa,72,male,574
Mombasa,72,female,518
Mombasa,72,total,1092
Mombasa,73,male,464
Mombasa,73,female,446
Mombasa,73,total,910
Mombasa,74,male,387
Mombasa,74,female,472
Mombasa,74,total,859
Mombasa,75,male,430
Mombasa,75,female,500
Mombasa,75,total,930
Mombasa,76,male,280
Mombasa,76,female,315
Mombasa,76,total,595
Mombasa,77,male,263
Mombasa,77,female,263
Mombasa,77,total,526
Mombasa,78,male,222
Mombasa,78,female,221
Mombasa,78,total,443
Mombasa,79,male,241
Mombasa,79,female,310
Mombasa,79,total,551
Mombasa,80,male,234
Mombasa,80,female,493
Mombasa,80,total,727
Mombasa,81,male,130
Mombasa,81,female,178
Mombasa,81,total,308
Mombasa,82,male,138
Mombasa,82,female,156
Mombasa,82,total,294
Mombasa,83,male,128
Mombasa,83,female,144
Mombasa,83,total,272
Mombasa,84,male,92
Mombasa,84,female,165
Mombasa,84,total,257
Mombasa,85,male,88
Mombasa,85,female,171
Mombasa,85,total,259
Mombasa,86,male,65
Mombasa,86,female,82
Mombasa,86,total,147
Mombasa,87,male,59
Mombasa,87,female,70
Mombasa,87,total,129
Mombasa,88,male,30
Mombasa,88,female,57
Mombasa,88,total,87
Mombasa,89,male,52
Mombasa,89,female,129
Mombasa,89,total,181
Mombasa,90,male,39
Mombasa,90,female,107
Mombasa,90,total,146
Mombasa,91,male,17
Mombasa,91,female,38
Mombasa,91,total,55
Mombasa,92,male,19
Mombasa,92,female,26
Mombasa,92,total,45
Mombasa,93,male,12
Mombasa,93,female,24
Mombasa,93,total,36
Mombasa,94,male,11
Mombasa,94,female,30
Mombasa,94,total,41
Mombasa,95,male,11
Mombasa,95,female,41
Mombasa,95,total,52
Mombasa,96,male,13
Mombasa,96,female,17
Mombasa,96,total,30
Mombasa,97,male,9
Mombasa,97,female,12
Mombasa,97,total,21
Mombasa,98,male,8
Mombasa,98,female,7
Mombasa,98,total,15
Mombasa,99,male,13
Mombasa,99,female,21
Mombasa,99,total,34
Mombasa,100+,male,14
Mombasa,100+,female,59
Mombasa,100+,total,73
Mombasa,Not Stated,male,14
Mombasa,Not Stated,female,12
Mombasa,Not Stated,total,26
Kwale,0,male,12299
Kwale,0,female,12331
Kwale,0,total,24630
Kwale,1,male,12681
Kwale,1,female,12369
Kwale,1,total,25050
Kwale,2,male,13139
Kwale,2,female,12927
Kwale,2,total,26066
Kwale,3,male,13232
Kwale,3,female,13391
Kwale,3,total,26623
Kwale,4,male,14178
Kwale,4,female,13743
Kwale,4,total,27921
Kwale,5,male,14617
Kwale,5,female,14090
Kwale,5,total,28707
Kwale,6,male,13767
Kwale,6,female,13384
Kwale,6,total,27151
Kwale,7,male,13075
Kwale,7,female,12628
Kwale,7,total,25703
Kwale,8,male,12336
Kwale,8,female,12373
Kwale,8,total,24709
Kwale,9,male,12904
Kwale,9,female,12568
Kwale,9,total,25472
Kwale,10,male,13154
Kwale,10,female,13022
Kwale,10,total,26176
Kwale,11,male,11892
Kwale,11,female,12012
Kwale,11,total,23904
Kwale,12,male,13224
Kwale,12,female,12692
Kwale,12,total,25916
Kwale,13,male,13177
Kwale,13,female,13028
Kwale,13,total,26205
Kwale,14,male,11751
Kwale,14,female,11337
Kwale,14,total,23088
Kwale,15,male,10958
Kwale,15,female,10500
Kwale,15,total,21458
Kwale,16,male,10204
Kwale,16,female,9978
Kwale,16,total,20182
Kwale,17,male,10150
Kwale,17,female,9284
Kwale,17,total,19434
Kwale,18,male,9239
Kwale,18,female,8656
Kwale,18,total,17895
Kwale,19,male,8865
Kwale,19,female,9270
Kwale,19,total,18135
Kwale,20,male,8332
Kwale,20,female,9523
Kwale,20,total,17855
Kwale,21,male,6015
Kwale,21,female,7024
Kwale,21,total,13039
Kwale,22,male,6346
Kwale,22,female,7794
Kwale,22,total,14140
Kwale,23,male,6212
Kwale,23,female,7735
Kwale,23,total,13947
Kwale,24,male,5798
Kwale,24,female,7016
Kwale,24,total,12814
Kwale,25,male,7114
Kwale,25,female,8147
Kwale,25,total,15261
Kwale,26,male,5713
Kwale,26,female,7025
Kwale,26,total,12738
Kwale,27,male,5737
Kwale,27,female,6623
Kwale,27,total,12360
Kwale,28,male,4927
Kwale,28,female,6257
Kwale,28,total,11184
Kwale,29,male,4811
Kwale,29,female,6336
Kwale,29,total,11147
Kwale,30,male,6798
Kwale,30,female,8858
Kwale,30,total,15656
Kwale,31,male,4234
Kwale,31,female,5303
Kwale,31,total,9537
Kwale,32,male,5223
Kwale,32,female,6372
Kwale,32,total,11595
Kwale,33,male,4259
Kwale,33,female,5315
Kwale,33,total,9574
Kwale,34,male,4224
Kwale,34,female,4867
Kwale,34,total,9091
Kwale,35,male,5763
Kwale,35,female,6312
Kwale,35,total,12075
Kwale,36,male,3835
Kwale,36,female,4168
Kwale,36,total,8003
Kwale,37,male,3652
Kwale,37,female,3776
Kwale,37,total,7428
Kwale,38,male,2886
Kwale,38,female,3076
Kwale,38,total,5962
Kwale,39,male,3179
Kwale,39,female,3167
Kwale,39,total,6346
Kwale,40,male,4734
Kwale,40,female,4956
Kwale,40,total,9690
Kwale,41,male,3641
Kwale,41,female,3860
Kwale,41,total,7501
Kwale,42,male,3854
Kwale,42,female,4262
Kwale,42,total,8116
Kwale,43,male,3172
Kwale,43,female,3625
Kwale,43,total,6797
Kwale,44,male,2844
Kwale,44,female,2867
Kwale,44,total,5711
Kwale,45,male,4511
Kwale,45,female,4288
Kwale,45,total,8799
Kwale,46,male,2684
Kwale,46,female,2820
Kwale,46,total,5504
Kwale,47,male,2959
Kwale,47,female,2694
Kwale,47,total,5653
Kwale,48,male,2164
Kwale,48,female,2008
Kwale,48,total,4172
Kwale,49,male,2462
Kwale,49,female,1943
Kwale,49,total,4405
Kwale,50,male,3789
Kwale,50,female,3654
Kwale,50,total,7443
Kwale,51,male,2372
Kwale,51,female,1791
Kwale,51,total,4163
Kwale,52,male,1846
Kwale,52,female,1401
Kwale,52,total,3247
Kwale,53,male,1223
Kwale,53,female,871
Kwale,53,total,2094
Kwale,54,male,1513
Kwale,54,female,1041
Kwale,54,total,2554
Kwale,55,male,1752
Kwale,55,female,1370
Kwale,55,total,3122
Kwale,56,male,2012
Kwale,56,female,1738
Kwale,56,total,3750
Kwale,57,male,1722
Kwale,57,female,1671
Kwale,57,total,3393
Kwale,58,male,1418
Kwale,58,female,1326
Kwale,58,total,2744
Kwale,59,male,1680
Kwale,59,female,2075
Kwale,59,total,3755
Kwale,60,male,2433
Kwale,60,female,3463
Kwale,60,total,5896
Kwale,61,male,1316
Kwale,61,female,1749
Kwale,61,total,3065
Kwale,62,male,1349
Kwale,62,female,1394
Kwale,62,total,2743
Kwale,63,male,1374
Kwale,63,female,1604
Kwale,63,total,2978
Kwale,64,male,1102
Kwale,64,female,1181
Kwale,64,total,2283
Kwale,65,male,1784
Kwale,65,female,2034
Kwale,65,total,3818
Kwale,66,male,1076
Kwale,66,female,912
Kwale,66,total,1988
Kwale,67,male,1473
Kwale,67,female,1332
Kwale,67,total,2805
Kwale,68,male,816
Kwale,68,female,773
Kwale,68,total,1589
Kwale,69,male,1132
Kwale,69,female,1521
Kwale,69,total,2653
Kwale,70,male,1682
Kwale,70,female,2590
Kwale,70,total,4272
Kwale,71,male,648
Kwale,71,female,780
Kwale,71,total,1428
Kwale,72,male,657
Kwale,72,female,707
Kwale,72,total,1364
Kwale,73,male,577
Kwale,73,female,520
Kwale,73,total,1097
Kwale,74,male,606
Kwale,74,female,670
Kwale,74,total,1276
Kwale,75,male,738
Kwale,75,female,736
Kwale,75,total,1474
Kwale,76,male,375
Kwale,76,female,361
Kwale,76,total,736
Kwale,77,male,407
Kwale,77,female,426
Kwale,77,total,833
Kwale,78,male,331
Kwale,78,female,272
Kwale,78,total,603
Kwale,79,male,421
Kwale,79,female,549
Kwale,79,total,970
Kwale,80,male,565
Kwale,80,female,985
Kwale,80,total,1550
Kwale,81,male,218
Kwale,81,female,241
Kwale,81,total,459
Kwale,82,male,198
Kwale,82,female,192
Kwale,82,total,390
Kwale,83,male,179
Kwale,83,female,228
Kwale,83,total,407
Kwale,84,male,196
Kwale,84,female,258
Kwale,84,total,454
Kwale,85,male,202
Kwale,85,female,296
Kwale,85,total,498
Kwale,86,male,120
Kwale,86,female,103
Kwale,86,total,223
Kwale,87,male,127
Kwale,87,female,152
Kwale,87,total,279
Kwale,88,male,76
Kwale,88,female,84
Kwale,88,total,160
Kwale,89,male,174
Kwale,89,female,270
Kwale,89,total,444
Kwale,90,male,131
Kwale,90,female,259
Kwale,90,total,390
Kwale,91,male,49
Kwale,91,female,58
Kwale,91,total,107
Kwale,92,male,42
Kwale,92,female,30
Kwale,92,total,72
Kwale,93,male,22
Kwale,93,female,29
Kwale,93,total,51
Kwale,94,male,36
Kwale,94,female,44
Kwale,94,total,80
Kwale,95,male,35
Kwale,95,female,42
Kwale,95,total,77
Kwale,96,male,23
Kwale,96,female,25
Kwale,96,total,48
Kwale,97,male,17
Kwale,97,female,25
Kwale,97,total,42
Kwale,98,male,15
Kwale,98,female,24
Kwale,98,total,39
Kwale,99,male,42
Kwale,99,female,58
Kwale,99,total,100
Kwale,100+,male,99
Kwale,100+,female,160
Kwale,100+,total,259
Kwale,Not Stated,male,6
Kwale,Not Stated,female,6
Kwale,Not Stated,total,12
Kilifi,0,male,18963
Kilifi,0,female,18919
Kilifi,0,total,37882
Kilifi,1,male,19960
Kilifi,1,female,19550
Kilifi,1,total,39510
Kilifi,2,male,20266
Kilifi,2,female,20012
Kilifi,2,total,40278
Kilifi,3,male,20444
Kilifi,3,female,20564
Kilifi,3,total,41008
Kilifi,4,male,21286
Kilifi,4,female,20867
Kilifi,4,total,42153
Kilifi,5,male,21905
Kilifi,5,female,21615
Kilifi,5,total,43520
Kilifi,6,male,20986
Kilifi,6,female,20916
Kilifi,6,total,41902
Kilifi,7,male,20268
Kilifi,7,female,19563
Kilifi,7,total,39831
Kilifi,8,male,19994
Kilifi,8,female,19962
Kilifi,8,total,39956
Kilifi,9,male,20574
